-1, 0.594615, 0.732059, 0.172737
-1, 0.0726117, 0.00517954, 0.240193
1, 0.47997, 0.373192, 0.963448
1, 0.499912, 0.577641, 0.908167
-1, 0.576509, 0.86694, 0.262714
-1, 0.0791039, 0.503294, 0.598455
1, 0.238126, 0.637408, 0.217244
-1, 0.496255, 0.769059, 0.819637
-1, 0.590423, 0.724445, 0.167362
1, 0.523847, 0.930838, 0.318648
1, 0.975913, 0.305665, 0.485311
-1, 0.667436, 0.469828, 0.0916112
1, 0.454256, 0.0914512, 0.995803
-1, 0.624916, 0.793105, 0.777818
-1, 0.555949, 0.0080227, 0.996838
1, 0.431104, 0.409731, 0.950887
1, 0.51581, 0.334648, 0.970903
-1, 0.140423, 0.660482, 0.608624
1, 0.681016, 0.796688, 0.742072
-1, 0.570992, 0.682029, 0.141261
1, 0.553284, 0.441226, 0.945522
-1, 0.586737, 0.569011, 0.901924
1, 0.480092, 0.100108, 0.997089
-1, 0.618981, 0.733067, 0.181366
1, 0.447014, 0.455505, 0.941969
-1, 0.821857, 0.355061, 0.161019
1, 0.491255, 0.511578, 0.929544
-1, 0.356142, 0.606551, 0.12935
1, 0.463539, 0.156253, 0.992512
-1, 0.506359, 0.650996, 0.120479
-1, 0.495028, 0.284035, 0.0206213
1, 0.707458, 0.852941, 0.341443
-1, 0.635967, 0.642923, 0.141959
-1, 0.54992, 0.22406, 0.015286
-1, 0.468094, 0.344779, 0.0317394
-1, 0.143171, 0.664439, 0.611609
1, 0.854431, 0.700555, 0.541763
-1, 0.792742, 0.514616, 0.186764
-1, 0.619709, 0.775671, 0.207954
1, 0.45989, 0.166962, 0.991349
-1, 0.503626, 0.11052, 0.00308065
-1, 0.49919, 0.00674306, 1.20818e-05
-1, 0.0287403, 0.311032, 0.562639
-1, 0.547742, 0.0229225, 0.0024227
1, 0.899243, 0.384665, 0.268366
1, 0.478611, 0.471453, 0.940438
-1, 0.492847, 0.191216, 0.990718
-1, 0.371662, 0.800777, 0.229269
-1, 0.583978, 0.46683, 0.0658748
1, 0.546455, 0.904384, 0.708395
1, 0.60959, 0.721929, 0.828213
-1, 0.497585, 0.0787879, 0.00156286
-1, 0.41434, 0.07403, 0.991229
-1, 0.199416, 0.692204, 0.699975
1, 0.818485, 0.0473839, 0.884735
1, 0.40241, 0.586315, 0.893157
1, 0.624099, 0.707484, 0.169103
-1, 0.387792, 0.0622957, 0.986271
1, 0.545405, 0.385135, 0.959187
-1, 0.456448, 0.448931, 0.0553304
-1, 0.416449, 0.622523, 0.117673
1, 0.497855, 0.797756, 0.801565
1, 0.488801, 0.242802, 0.984906
1, 0.47379, 0.101555, 0.996724
-1, 0.268814, 0.203251, 0.0683932
1, 0.475903, 0.114087, 0.99615
-1, 0.355374, 0.350176, 0.0545124
-1, 0.567101, 0.771103, 0.188735
-1, 0.388075, 0.972353, 0.465186
-1, 0.600446, 0.467544, 0.0695811
1, 0.472623, 0.539378, 0.920162
-1, 0.431703, 0.485036, 0.0680959
1, 0.912625, 0.564939, 0.503497
1, 0.920364, 0.335991, 0.28759
-1, 0.562495, 0.63383, 0.118323
-1, 0.477844, 0.469783, 0.940846
1, 0.833694, 0.398281, 0.814665
-1, 0.429641, 0.38184, 0.0432585
1, 0.53156, 0.642198, 0.881996
-1, 0.543627, 0.517007, 0.0742312
-1, 0.319119, 0.617256, 0.150575
-1, 0.352858, 0.283981, 0.956309
-1, 0.747427, 0.82368, 0.638651
-1, 0.495591, 0.348295, 0.0313283
-1, 0.256081, 0.595434, 0.819307
-1, 0.431081, 0.973595, 0.591516
-1, 0.233957, 0.0694915, 0.0779933
-1, 0.499192, 0.433926, 0.0495215
1, 0.722124, 0.733284, 0.757434
-1, 0.519191, 0.41098, 0.0445816
1, 0.548933, 0.604942, 0.895136
-1, 0.377237, 0.276373, 0.0353969
1, 0.590952, 0.381578, 0.953124
-1, 0.498325, 0.686675, 0.136478
1, 0.446282, 0.332939, 0.968412
-1, 0.315336, 0.434662, 0.089249
1, 0.433895, 0.516661, 0.922988
1, 0.513053, 0.429096, 0.0485566
1, 0.498945, 0.490046, 0.935857
-1, 0.733624, 0.692883, 0.225353
1, 0.508237, 0.673193, 0.86968
