  -1, 0.4868210, 0.7898300, 0.2726990, 0.7101560
  -1, 0.4491780, 0.8251460, 0.2726650, 0.6894030
  -1, 0.4566550, 0.9058130, 0.3084100, 0.6373230
   1, 0.2295320, 0.4558180, 0.4564560, 0.4758150
   1, 0.4495970, 0.6024190, 0.6941170, 0.2714210
  -1, 0.5518110, 0.3773070, 0.2442790, 0.8753270
   1, 0.2470190, 0.7231770, 0.3750110, 0.5223330
  -1, 0.2055560, 0.7143880, 0.2017510, 0.6641050
  -1, 0.6025760, 0.8006590, 0.3149730, 0.6945500
   1, 0.2794740, 0.5349520, 0.5111050, 0.4437950
   1, 0.0545271, 0.2177360, 0.1750970, 0.6009150
   1, 0.4621540, 0.9226310, 0.5029950, 0.3857510
  -1, 0.7546290, 0.7195380, 0.3560580, 0.6856890
   1, 0.2758660, 0.6396060, 0.4645820, 0.4662430
   1, 0.1354200, 0.2604130, 0.3336780, 0.5326760
   1, 0.4681240, 0.8692550, 0.5359270, 0.3451690
   1, 0.4732190, 0.6786420, 0.6319860, 0.2550680
   1, 0.6060090, 0.7780860, 0.4345920, 0.3975100
  -1, 0.6600790, 0.8365550, 0.3474080, 0.6519550
  -1, 0.7857820, 0.7027910, 0.3672030, 0.6709030
   1, 0.4032250, 0.7820080, 0.5633970, 0.3741200
  -1, 0.8943740, 0.3340530, 0.4060010, 0.5792010
   1, 0.4765730, 0.8467260, 0.5430040, 0.3265090
   1, 0.5123220, 0.7603290, 0.5081330, 0.2851750
   1, 0.3433080, 0.6011020, 0.5807830, 0.3952480
   1, 0.4981110, 0.8527650, 0.5167250, 0.3254730
   1, 0.3821610, 0.7364670, 0.5662780, 0.3837570
  -1, 0.5491790, 0.8532460, 0.3118630, 0.6714600
  -1, 0.8432500, 0.6292290, 0.3829010, 0.6542910
   1, 0.5141560, 0.9109740, 0.4818250, 0.3703770
  -1, 0.4873720, 0.6014810, 0.2316570, 0.7945710
   1, 0.4653870, 0.8919100, 0.5232010, 0.3613540
   1, 0.1825050, 0.2476530, 0.4222030, 0.4941870
   1, 0.6032670, 0.9123820, 0.4229670, 0.4620920
   1, 0.3789500, 0.9052950, 0.4505750, 0.4620160
   1, 0.4834360, 0.8992790, 0.5113750, 0.3572930
   1, 0.6078900, 0.8288710, 0.4325170, 0.4182150
   1, 0.3433630, 0.7634460, 0.5027280, 0.4323860
  -1, 0.3949970, 0.9520250, 0.3521870, 0.5621430
   1, 0.4824560, 0.9805140, 0.4529600, 0.4385350
   1, 0.5088700, 0.7717250, 0.5141960, 0.2872700
   1, 0.4661080, 0.9603930, 0.4727430, 0.4187450
  -1, 0.2678050, 0.7568200, 0.2131150, 0.6811580
   1, 0.4807410, 0.6910540, 0.6086620, 0.2502980
